ts,phase,nvme_rd_mb_s,nvme_wr_mb_s,nvme_active_pct,cte_file_tier_gb,devshm_used_gb,clio_rss_gb,mem_avail_gb,nfs_rd_mb_s
1784477046,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.513,0.86
1784477052,bench_mmap,0.00,0.00,0.1,0.000,0.013,0.000,43.521,0.00
1784477057,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.509,0.00
1784477062,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.510,0.00
1784477067,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.504,0.00
1784477072,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.493,0.00
1784477077,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.478,0.00
1784477082,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.462,0.00
1784477087,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.425,0.00
1784477092,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.436,0.00
1784477097,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.416,0.00
1784477102,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.414,0.00
1784477108,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.421,0.00
1784477113,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.410,0.00
1784477118,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.399,0.00
1784477123,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.396,0.00
1784477128,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.400,0.00
1784477133,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.384,0.00
1784477138,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.382,0.00
1784477143,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.389,0.00
1784477148,bench_mmap,0.01,0.00,0.2,0.000,0.013,0.000,43.436,0.01
1784477153,bench_mmap,0.00,0.00,0.1,0.000,0.013,0.000,43.389,0.01
1784477158,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.393,0.00
1784477163,bench_mmap,0.00,0.00,0.0,0.000,0.013,0.000,43.396,0.00
1784477168,ingest,0.00,0.00,0.1,0.000,0.013,0.000,42.936,0.83
1784477173,ingest,0.00,1053.31,94.8,0.000,0.013,0.000,42.800,0.00
1784477178,ingest,0.00,1084.51,97.0,0.000,0.013,0.000,42.785,0.00
1784477183,ingest,0.00,1097.22,98.1,0.000,0.013,0.000,42.770,0.00
1784477188,ingest,0.00,1109.27,99.2,0.000,0.013,0.000,42.827,0.00
1784477193,idle,6.23,185.66,17.1,0.000,0.013,0.000,43.083,0.01
1784477198,bench_chimod,238.57,390.09,69.0,0.000,0.013,0.000,41.878,1.66
1784477203,bench_chimod,803.85,0.00,99.9,0.000,0.013,0.000,37.890,0.00
1784477208,bench_chimod,605.96,0.00,89.0,0.000,0.013,0.000,34.211,0.00
1784477214,bench_chimod,64.64,0.00,10.5,0.000,0.013,0.000,28.662,0.00
1784477219,bench_chimod,527.41,0.00,79.1,0.000,0.013,0.000,24.621,0.00
1784477224,bench_chimod,534.64,0.00,82.1,0.000,0.013,0.000,20.629,0.00
1784477229,bench_chimod,276.34,0.01,43.8,0.000,0.013,0.000,18.835,0.01
1784477234,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,18.836,0.00
1784477239,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,18.836,0.00
1784477244,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,18.833,0.00
1784477249,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,18.833,0.00
1784477254,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,18.835,0.00
1784477259,bench_chimod,0.00,0.00,0.1,0.000,0.013,0.000,43.461,0.00
1784477264,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,43.460,0.00
1784477269,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,43.460,0.00
1784477274,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,43.461,0.00
1784477279,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,43.462,0.00
1784477284,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,43.462,0.00
1784477289,bench_chimod,0.00,0.00,0.0,0.000,0.013,0.000,43.458,0.00
