ts,phase,nvme_rd_mb_s,nvme_wr_mb_s,nvme_active_pct,cte_file_tier_gb,devshm_used_gb,clio_rss_gb,mem_avail_gb,nfs_rd_mb_s
1783980133,setup,0.01,0.00,0.2,0.000,0.024,0.000,37.360,0.02
1783980138,setup,0.00,0.00,0.0,0.000,0.024,0.000,37.383,0.00
1783980143,setup,0.00,0.00,0.0,0.000,0.024,0.000,37.384,0.00
1783980148,ingest,0.00,0.00,0.0,0.000,0.024,0.000,37.062,0.83
1783980153,ingest,0.14,0.00,13.6,0.000,0.024,0.000,36.391,0.00
1783980158,ingest,0.39,49.92,41.5,0.000,0.024,0.000,36.389,0.00
1783980163,ingest,0.39,329.06,58.2,0.000,0.024,0.000,36.382,0.00
1783980168,ingest,0.37,193.16,47.9,0.000,0.024,0.000,36.367,0.00
1783980173,ingest,0.21,397.78,47.5,0.000,0.024,0.000,35.672,0.00
1783980178,ingest,0.00,61.46,7.4,0.000,0.024,0.000,34.288,0.00
1783980183,ingest,0.00,0.00,0.0,0.000,0.024,0.000,32.854,0.00
1783980188,ingest,0.00,0.01,0.1,0.000,0.024,0.000,31.427,0.00
1783980193,ingest,0.00,0.00,0.0,0.000,0.024,0.000,29.996,0.00
1783980198,ingest,0.00,0.00,0.0,0.000,0.024,0.000,28.629,0.00
1783980203,ingest,0.00,0.00,0.0,0.000,0.024,0.000,27.298,0.00
1783980208,ingest,0.00,0.00,0.0,0.000,0.024,0.000,25.846,0.00
1783980213,ingest,0.00,0.00,0.0,0.000,0.024,0.000,24.420,0.00
1783980218,ingest,0.00,0.00,0.1,0.000,0.024,0.000,23.024,0.00
1783980223,ingest,0.00,0.00,0.0,0.000,0.024,0.000,21.427,0.00
1783980228,idle,3.02,0.00,0.6,0.000,0.024,0.000,20.990,0.01
1783980233,bench_chimod,325.75,0.00,30.4,0.000,0.024,0.000,20.785,1.68
1783980239,bench_chimod,548.74,0.00,53.3,0.000,0.024,0.000,20.755,0.00
1783980244,bench_chimod,0.00,0.00,0.0,0.000,0.024,0.000,20.762,0.00
1783980249,bench_chimod,0.00,0.00,0.1,0.000,0.024,0.000,20.738,0.00
1783980254,bench_chimod,0.00,0.00,0.0,0.000,0.024,0.000,20.738,0.00
1783980259,bench_chimod,0.00,0.00,0.0,0.000,0.024,0.000,20.765,0.00
1783980264,bench_chimod,7.77,0.00,0.7,0.000,0.024,0.000,20.753,0.00
1783980269,bench_chimod,0.00,0.00,0.0,0.000,0.024,0.000,20.768,0.00
1783980274,bench_chimod,78.48,0.00,43.4,0.000,0.024,0.000,20.758,0.00
1783980279,bench_chimod,24.35,0.00,16.9,0.000,0.024,0.000,20.733,0.00
1783980284,bench_chimod,0.00,0.00,0.0,0.000,0.024,0.000,20.725,0.00
